127.0.0.1 - - [13/Mar/2019:20:44:57 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [13/Mar/2019:20:44:59 +0900] "GET /template/ HTTP/1.1" 200 1627
0:0:0:0:0:0:0:1 - - [13/Mar/2019:20:45:07 +0900] "POST /template/HomeAction.action;jsessionid=826AACA9C03DF1BAD6D17F8390ADC9F7 HTTP/1.1" 200 2165
0:0:0:0:0:0:0:1 - - [13/Mar/2019:20:45:13 +0900] "POST /template/LoginAction.action HTTP/1.1" 200 1583
0:0:0:0:0:0:0:1 - - [13/Mar/2019:20:45:14 +0900] "POST /template/HomeAction.action HTTP/1.1" 200 2165
0:0:0:0:0:0:0:1 - - [13/Mar/2019:20:45:16 +0900] "GET /template/UserCreateAction.action HTTP/1.1" 200 2435
0:0:0:0:0:0:0:1 - - [13/Mar/2019:20:45:30 +0900] "POST /template/UserCreateConfirmAction.action HTTP/1.1" 200 2436
0:0:0:0:0:0:0:1 - - [13/Mar/2019:20:45:31 +0900] "POST /template/UserCreateCompleteAction.action HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [13/Mar/2019:20:45:33 +0900] "GET /template/HomeAction.action HTTP/1.1" 200 2165
0:0:0:0:0:0:0:1 - - [13/Mar/2019:20:45:35 +0900] "POST /template/LoginAction.action HTTP/1.1" 200 2984
0:0:0:0:0:0:0:1 - - [13/Mar/2019:20:45:42 +0900] "GET /template/HomeAction.action HTTP/1.1" 200 2165
0:0:0:0:0:0:0:1 - - [13/Mar/2019:20:45:45 +0900] "POST /template/LoginAction.action HTTP/1.1" 200 2984
0:0:0:0:0:0:0:1 - - [13/Mar/2019:20:45:46 +0900] "POST /template/BuyItemAction.action HTTP/1.1" 200 2265
0:0:0:0:0:0:0:1 - - [13/Mar/2019:20:45:48 +0900] "POST /template/BuyItemConfirmAction.action HTTP/1.1" 200 1581
0:0:0:0:0:0:0:1 - - [13/Mar/2019:20:45:51 +0900] "GET /template/MyPageAction.action HTTP/1.1" 200 1548
0:0:0:0:0:0:0:1 - - [13/Mar/2019:20:46:09 +0900] "GET /template/HomeAction.action HTTP/1.1" 200 2165
